game_id,minutes_elapsed,home_score,away_score,final_home_score,final_away_score
0,0.6,15,14,17,14
0,6.0,19,14,17,14
0,8.1,21,14,17,14
0,8.4,21,14,17,14
0,9.9,20,14,17,14
0,10.799999999999999,21,14,17,14
0,24.3,15,14,17,14
0,35.1,14,14,17,14
0,35.4,17,14,17,14
0,41.1,14,14,17,14
0,43.199999999999996,12,14,17,14
0,44.1,14,14,17,14
0,47.4,13,14,17,14
0,55.5,18,14,17,14
0,56.4,16,14,17,14
1,8.7,15,18,11,18
1,14.399999999999999,17,18,11,18
1,14.7,17,18,11,18
1,18.0,15,18,11,18
1,24.9,20,18,11,18
1,25.5,21,18,11,18
1,25.8,21,18,11,18
1,30.599999999999998,21,18,11,18
1,32.1,21,18,11,18
1,33.0,19,18,11,18
1,34.8,20,18,11,18
1,36.3,20,18,11,18
1,44.1,22,18,11,18
1,49.8,20,18,11,18
1,55.5,16,18,11,18
2,1.2,12,11,4,11
2,17.099999999999998,8,11,4,11
2,19.8,10,11,4,11
2,24.599999999999998,13,11,4,11
2,25.8,9,11,4,11
2,26.099999999999998,8,11,4,11
2,30.299999999999997,12,11,4,11
2,30.9,10,11,4,11
2,36.3,6,11,4,11
2,44.699999999999996,4,11,4,11
2,50.699999999999996,2,11,4,11
2,52.199999999999996,2,11,4,11
2,54.9,0,11,4,11
2,56.699999999999996,3,11,4,11
2,57.0,2,11,4,11
3,5.1,17,10,20,10
3,6.6,17,10,20,10
3,8.1,11,10,20,10
3,13.799999999999999,7,10,20,10
3,14.1,8,10,20,10
3,15.0,7,10,20,10
3,17.7,4,10,20,10
3,18.599999999999998,5,10,20,10
3,27.0,12,10,20,10
3,28.5,13,10,20,10
3,37.199999999999996,16,10,20,10
3,38.4,19,10,20,10
3,45.9,16,10,20,10
3,51.0,17,10,20,10
3,54.0,23,10,20,10
4,0.3,15,17,26,17
4,1.5,11,17,26,17
4,9.0,15,17,26,17
4,9.9,14,17,26,17
4,14.1,18,17,26,17
4,17.099999999999998,23,17,26,17
4,24.0,17,17,26,17
4,28.799999999999997,16,17,26,17
4,29.099999999999998,17,17,26,17
4,31.5,20,17,26,17
4,32.1,21,17,26,17
4,38.4,21,17,26,17
4,40.199999999999996,22,17,26,17
4,46.8,24,17,26,17
4,59.099999999999994,29,17,26,17
5,7.199999999999999,17,17,0,17
5,7.8,17,17,0,17
5,13.799999999999999,14,17,0,17
5,21.9,6,17,0,17
5,24.9,4,17,0,17
5,27.0,6,17,0,17
5,31.799999999999997,7,17,0,17
5,34.8,0,17,0,17
5,36.0,0,17,0,17
5,41.699999999999996,1,17,0,17
5,52.5,6,17,0,17
5,54.6,4,17,0,17
5,55.8,5,17,0,17
5,59.099999999999994,0,17,0,17
5,59.4,0,17,0,17
6,5.1,18,19,28,19
6,21.0,23,19,28,19
6,25.2,23,19,28,19
6,26.7,25,19,28,19
6,27.3,25,19,28,19
6,29.4,30,19,28,19
6,34.8,32,19,28,19
6,42.6,38,19,28,19
6,45.0,33,19,28,19
6,46.199999999999996,32,19,28,19
6,47.699999999999996,32,19,28,19
6,51.0,35,19,28,19
6,52.5,33,19,28,19
6,55.8,31,19,28,19
6,56.4,29,19,28,19
7,3.9,12,12,0,12
7,9.0,4,12,0,12
7,9.6,3,12,0,12
7,14.7,0,12,0,12
7,15.0,0,12,0,12
7,19.8,0,12,0,12
7,24.0,0,12,0,12
7,24.599999999999998,0,12,0,12
7,26.099999999999998,0,12,0,12
7,41.1,0,12,0,12
7,44.1,0,12,0,12
7,44.699999999999996,0,12,0,12
7,45.3,0,12,0,12
7,47.1,0,12,0,12
7,49.8,0,12,0,12
8,1.5,19,14,0,14
8,2.1,18,14,0,14
8,6.8999999999999995,17,14,0,14
8,11.4,15,14,0,14
8,15.0,12,14,0,14
8,18.3,8,14,0,14
8,21.3,10,14,0,14
8,25.8,14,14,0,14
8,29.4,8,14,0,14
8,38.4,10,14,0,14
8,41.1,8,14,0,14
8,46.5,3,14,0,14
8,47.4,2,14,0,14
8,48.3,0,14,0,14
8,55.5,0,14,0,14
9,11.1,14,14,14,14
9,15.0,16,14,14,14
9,17.7,11,14,14,14
9,18.0,11,14,14,14
9,18.3,11,14,14,14
9,20.099999999999998,12,14,14,14
9,24.0,13,14,14,14
